,TIME,TEMP,UTIL,AVG_UTIL,FREQ,AVG_EP_REW,REW
0,1623004190.200673,49.099998474121094,18.040000915527344,1.8040000200271606,1100000,-123.94286493967098,-123.94286493967098
1,1623004191.2795768,47.70000076293945,18.040000915527344,3.6080000400543213,700000,-266.56984662102093,-142.62698168134997
2,1623004192.3582458,48.20000076293945,18.040000915527344,5.4120001792907715,700000,-408.2168278064603,-141.64698118543933
3,1623004193.4335372,48.20000076293945,18.040000915527344,7.216000080108643,700000,-558.7413596130696,-150.52453180660925
4,1623004194.513962,47.70000076293945,18.030000686645508,9.019000053405762,700000,-577.5380757600409,-18.796716146971328
5,1623004195.5899577,47.70000076293945,18.030000686645508,10.821999549865723,700000,-587.9007001257642,-10.36262436572327
6,1623004196.6653988,47.20000076293945,18.030000686645508,12.625,700000,-592.0389930741368,-4.138292948372591
7,1623004197.750939,48.20000076293945,18.030000686645508,14.428000450134277,700000,-591.2141447876803,0.8248482864564366
8,1623004198.8365295,47.20000076293945,18.030000686645508,16.231000900268555,700000,-587.3711153025342,3.8430294851460243
9,1623004199.9208858,46.70000076293945,18.030000686645508,18.034000396728516,700000,-583.5291866194946,3.8419286830396597
10,1623004201.0065346,46.70000076293945,18.030000686645508,18.033000946044922,700000,-579.6894633072524,3.8397233122422474
11,1623004202.093427,46.70000076293945,18.020000457763672,18.0310001373291,700000,-575.982693354123,3.706769953129445
12,1623004203.1743631,47.20000076293945,18.020000457763672,18.02899932861328,700000,-572.4121867190901,3.570506635032822
13,1623004204.2534342,47.70000076293945,18.020000457763672,18.027000427246094,700000,-568.9802361230356,3.4319505960543957
14,1623004205.3366442,48.20000076293945,18.020000457763672,18.025999069213867,700000,-565.2778859107121,3.7023502123234735
15,1623004206.4164906,47.20000076293945,18.020000457763672,18.024999618530273,700000,-561.4458957266631,3.831990184048953
16,1623004207.4955869,46.70000076293945,18.020000457763672,18.02400016784668,700000,-557.746866674835,3.6990290518281697
17,1623004208.5762315,47.20000076293945,18.010000228881836,18.02199935913086,700000,-554.1841087068015,3.562757968033602
18,1623004209.6610885,47.70000076293945,18.010000228881836,18.020000457763672,700000,-550.3587691680655,3.8253395387359657
19,1623004210.7434287,46.70000076293945,18.010000228881836,18.01799964904785,700000,-546.666395305526,3.692373862539519
20,1623004211.822886,47.20000076293945,18.010000228881836,18.016000747680664,700000,-542.7168709411999,3.9495243643261215
21,1623004212.924848,46.20000076293945,18.010000228881836,18.014999389648438,700000,-539.0267213273083,3.690149613891599
22,1623004214.0263934,47.20000076293945,18.010000228881836,18.013999938964844,700000,-535.3376836096796,3.6890377176287146
23,1623004215.1120722,47.20000076293945,18.010000228881836,18.01300048828125,700000,-531.6497604662317,3.687923143447968
24,1623004216.196212,47.20000076293945,18.010000228881836,18.011999130249023,700000,-527.7058004808156,3.943959985416141
25,1623004217.2846599,46.20000076293945,18.0,18.010000228881836,700000,-523.8915890493589,3.8142114314567177
26,1623004218.3724856,46.70000076293945,18.0,18.007999420166016,700000,-520.0784928426236,3.8130962067352865
27,1623004219.4575973,46.70000076293945,18.0,18.006999969482422,700000,-516.3972581815199,3.681234661103737
28,1623004220.5414786,47.20000076293945,18.0,18.006000518798828,700000,-512.7171419848559,3.6801161966639953
29,1623004221.6274407,47.20000076293945,18.0,18.0049991607666,700000,-508.7798792685805,3.937262716275354
30,1623004222.712406,46.20000076293945,18.0,18.003999710083008,700000,-504.59918423988177,4.180695028698741
31,1623004223.7915542,45.20000076293945,17.989999771118164,18.00200080871582,700000,-500.666396759543,3.932787480338787
32,1623004224.8765132,46.20000076293945,17.989999771118164,18.0,700000,-496.86336893790616,3.8030278216368227
33,1623004225.9619865,46.70000076293945,17.989999771118164,17.99799919128418,700000,-492.81069635197434,4.052672585931833
34,1623004227.0461211,45.70000076293945,17.989999771118164,17.996000289916992,700000,-488.75914564662304,4.051550705351292
35,1623004228.1323154,45.70000076293945,17.989999771118164,17.9950008392334,700000,-484.834211729486,3.9249339171370377
36,1623004229.2178893,46.20000076293945,17.979999542236328,17.993000030517578,700000,-480.91152760211656,3.922684127369477
37,1623004230.3031445,46.20000076293945,17.979999542236328,17.990999221801758,700000,-476.99109333843484,3.9204342636817255
38,1623004231.3921149,46.20000076293945,17.979999542236328,17.98900032043457,700000,-473.07291330599406,3.918180032440757
39,1623004232.4792385,46.20000076293945,17.979999542236328,17.98699951171875,700000,-469.15698757448047,3.9159257315135942
40,1623004233.566422,46.20000076293945,17.979999542236328,17.985000610351562,700000,-464.9965242246875,4.160463349792954
41,1623004234.6533241,45.20000076293945,17.979999542236328,17.983999252319336,700000,-461.0839862577763,3.912537966911186
42,1623004235.7343674,46.20000076293945,17.969999313354492,17.98200035095215,700000,-456.92804254171796,4.155943716058337
43,1623004236.8170931,45.20000076293945,17.969999313354492,17.979999542236328,700000,-453.1475462878232,3.7804962538947446
44,1623004237.9033449,46.70000076293945,17.969999313354492,17.97800064086914,700000,-449.3693164797508,3.7782298080724015
45,1623004239.007068,46.70000076293945,17.969999313354492,17.97599983215332,700000,-445.59221964641546,3.7770968333353547
46,1623004240.0968971,46.70000076293945,17.969999313354492,17.975000381469727,700000,-443.0828821276573,2.5093375187581657
47,1623004241.192528,47.20000076293945,67.16999816894531,22.893999099731445,700000,-441.77592664110375,1.306955486553525
48,1623004242.278677,46.70000076293945,25.3799991607666,23.634000778198242,700000,-440.5977076034975,1.1782190376062474
49,1623004243.3634825,47.20000076293945,17.969999313354492,23.632999420166016,700000,-439.2867378639902,1.3109697395073194
