,TEMP,UTIL,AVG_UTIL,FREQ,AVG_EP_REW,REW
32,52.5,97.73999786376953,79.9739990234375,900000,-418.39994161555984,-25.09529738294051
33,51.599998474121094,98.98999786376953,84.8479995727539,900000,-446.7004878331529,-28.300546217593098
34,51.599998474121094,100.0,89.83499908447266,900000,-476.9320485520697,-30.231560718916818
35,52.099998474121094,99.75,93.09200286865234,900000,-510.22542567400063,-33.2933771219309
36,52.5,100.0,97.33799743652344,900000,-543.8467761157387,-33.62135044173813
37,51.599998474121094,100.0,98.1520004272461,900000,-578.2867737674237,-34.43999765168493
38,51.599998474121094,100.0,99.29100036621094,900000,-613.1034515300504,-34.816677762626725
39,52.099998474121094,100.0,99.62300109863281,900000,-647.8462661895603,-34.742814659509875
40,52.5,99.75,99.62300109863281,900000,-683.0553941798646,-35.20912799030424
41,53.5,100.0,99.62300109863281,900000,-718.2878000336082,-35.23240585374355
42,53.0,100.0,99.8489990234375,900000,-753.738289418305,-35.45048938469685
43,53.5,100.0,99.94999694824219,900000,-788.8423446703224,-35.104055252017346
44,53.0,99.75,99.92500305175781,900000,-824.0097237936097,-35.16737912328732
45,52.5,100.0,99.94999694824219,900000,-859.4602131783066,-35.45048938469685
46,53.5,100.0,99.94999694824219,900000,-894.9107025630035,-35.45048938469685
47,53.5,100.0,99.94999694824219,900000,-930.0147578150209,-35.104055252017346
48,53.0,99.75,99.92500305175781,600000,-976.9206439662606,-46.905886151239756
49,51.599998474121094,100.0,99.92500305175781,600000,-1012.088023089548,-35.16737912328732
50,52.5,100.0,99.94999694824219,600000,-1047.1460622465672,-35.05803915701933
51,52.099998474121094,100.0,99.94999694824219,600000,-1082.0009917485932,-34.854929502025875
52,52.099998474121094,99.75,99.92500305175781,600000,-1117.040512746873,-35.03952099827994
53,52.099998474121094,100.0,99.92500305175781,600000,-1151.5600781514445,-34.51956540457142
54,51.599998474121094,99.5,99.9000015258789,600000,-1186.4474464166005,-34.88736826515597
55,51.599998474121094,100.0,99.9000015258789,1500000,-1256.467951458277,-70.02050504167633
56,52.099998474121094,98.75,99.7750015258789,600000,-1325.2392087667874,-68.77125730851049
57,52.099998474121094,97.23999786376953,99.4990005493164,600000,-1345.083905159168,-19.844696392380538
58,51.099998474121094,74.87000274658203,97.01100158691406,600000,-1363.4759945489059,-18.392089389738025
59,51.099998474121094,73.37000274658203,94.3479995727539,600000,-1377.0826806649827,-13.606686116076776
60,50.099998474121094,60.54999923706055,90.40299987792969,700000,-1397.6007742462587,-20.518093581275924
61,49.599998474121094,75.0,87.90299987792969,600000,-1417.3359726889157,-19.735198442657094
62,49.099998474121094,75.12999725341797,85.44100189208984,600000,-1432.383434036702,-15.047461347786399
63,49.099998474121094,75.05999755859375,82.9469985961914,600000,-1446.7417259215974,-14.35829188489538
64,48.70000076293945,75.12999725341797,80.51000213623047,600000,-1460.847318390689,-14.105592469091668
65,49.599998474121094,75.62999725341797,78.072998046875,600000,-1473.8758548041096,-13.028536413420518
66,47.70000076293945,75.12999725341797,75.71099853515625,600000,-1482.9993998673986,-9.123545063288981
67,48.70000076293945,53.689998626708984,71.35600280761719,600000,-1489.7682215741156,-6.768821706717025
68,48.20000076293945,30.989999771118164,66.96800231933594,600000,-1496.4170347041534,-6.648813130037801
69,48.70000076293945,30.989999771118164,62.72999954223633,600000,-1502.8042260918703,-6.387191387717027
70,48.20000076293945,30.979999542236328,59.77299880981445,600000,-1508.9899150335737,-6.185688941703317
71,48.20000076293945,30.979999542236328,55.37099838256836,600000,-1514.7773924364578,-5.787477402884177
72,47.20000076293945,30.979999542236328,50.95600128173828,600000,-5.732490478906203,-5.732490478906203
73,47.70000076293945,30.969999313354492,46.547000885009766,600000,-5.697279936699859,-5.697279936699859
74,48.20000076293945,30.969999313354492,42.13100051879883,1300000,-33.56589263356457,-33.56589263356457
75,48.20000076293945,30.969999313354492,37.665000915527344,600000,-68.5421350415401,-34.97624240797553
76,49.099998474121094,61.68000030517578,36.31999969482422,600000,-74.01186058009098,-5.46972553855087
77,48.20000076293945,30.969999313354492,34.04800033569336,1400000,-37.46967476068324,-37.46967476068324
78,48.20000076293945,30.969999313354492,34.04600143432617,600000,-74.93929874603629,-37.46962398535305
79,48.20000076293945,30.969999313354492,34.04399871826172,600000,-80.66870086487239,-5.7294021188360995
80,48.20000076293945,39.25,34.87099838256836,600000,-10.503225513637073,-10.503225513637073
81,47.70000076293945,95.75,41.347999572753906,600000,-19.491530620347525,-8.988305106710452
82,48.70000076293945,77.80999755859375,46.03099822998047,600000,-28.94108695970781,-9.449556339360285
83,49.599998474121094,75.55999755859375,50.4900016784668,600000,-38.823784161817414,-9.882697202109606
84,49.099998474121094,75.55999755859375,54.94900131225586,600000,-49.43084512365918,-10.607060961841764
85,49.599998474121094,75.5,59.402000427246094,600000,-60.4539485673848,-11.023103443725613
86,49.599998474121094,76.75,60.909000396728516,600000,-71.85685480664034,-11.402906239255543
87,48.70000076293945,75.87000274658203,65.39900207519531,1000000,-100.3505857724962,-28.493730965855868
88,50.099998474121094,75.62000274658203,69.86399841308594,600000,-129.5470310816016,-29.19644530910541
89,49.099998474121094,75.80999755859375,74.3479995727539,600000,-143.81491449800495,-14.267883416403354
90,50.099998474121094,75.87000274658203,78.01000213623047,600000,-157.58200294257705,-13.767088444572082
91,50.099998474121094,75.68000030517578,76.00299835205078,1400000,-204.34254441178348,-46.760541469206444
92,51.599998474121094,78.30000305175781,76.052001953125,600000,-250.09390335394053,-45.751358942157054
93,50.099998474121094,75.55999755859375,76.052001953125,600000,-264.0450443689839,-13.951141015043333
94,50.599998474121094,75.87000274658203,76.08300018310547,600000,-277.91396722902107,-13.868922860037152
95,50.599998474121094,75.5,76.08300018310547,600000,-292.0959633201738,-14.181996091152712
96,51.099998474121094,76.37000274658203,76.04499816894531,600000,-305.853522160023,-13.757558839849196
97,50.099998474121094,75.62000274658203,76.0199966430664,600000,-320.16782330935445,-14.314301149331449
98,49.599998474121094,78.30000305175781,76.28800201416016,700000,-337.98071034107016,-17.812887031715697
99,50.099998474121094,75.62000274658203,76.26899719238281,600000,-355.74338937919987,-17.762679038129697
100,49.599998474121094,75.93000030517578,76.2750015258789,600000,-369.6029781196267,-13.859588740426815
101,50.099998474121094,75.80999755859375,76.28800201416016,600000,-385.0653461804042,-15.462368060777528
