,TEMP,UTIL,AVG_UTIL,FREQ,AVG_EP_REW,REW
496,49.599998474121094,35.95000076293945,35.96799850463867,1200000,-5.997101352449803,-5.997101352449803
497,49.599998474121094,35.95000076293945,35.96500015258789,1200000,-5.996920354544543,-5.996920354544543
498,49.599998474121094,35.95000076293945,35.96200180053711,1200000,-5.907625702326328,-5.907625702326328
499,49.099998474121094,35.939998626708984,35.95800018310547,1200000,-6.086582853106458,-6.086582853106458
500,50.099998474121094,35.939998626708984,35.95500183105469,1200000,-11.924662673608086,-5.838079820501628
501,48.70000076293945,35.939998626708984,35.95199966430664,1200000,-5.906419818646007,-5.906419818646007
502,49.099998474121094,35.93000030517578,35.948001861572266,1200000,-6.085376139361429,-6.085376139361429
503,50.099998474121094,35.93000030517578,35.94499969482422,1200000,-12.358893654877665,-6.273517515516237
504,51.099998474121094,35.93000030517578,35.94200134277344,1200000,-18.53622902804687,-6.177335373169205
505,50.599998474121094,35.91999816894531,35.9379997253418,1200000,-26.167801543451752,-7.631572515404882
506,52.5,49.369998931884766,37.279998779296875,1300000,-40.568786410754186,-14.400984867302437
507,52.099998474121094,75.19000244140625,41.20399856567383,1200000,-55.79292515398066,-15.224138743226478
508,52.5,75.12000274658203,45.12099838256836,1200000,-68.78401667643894,-12.99109152245828
509,52.099998474121094,75.19000244140625,49.04600143432617,1200000,-83.00658210195337,-14.222565425514432
510,53.5,75.25,52.97700119018555,1200000,-98.29151779468711,-15.284935692733747
511,53.0,75.75,56.95800018310547,1200000,-114.76327282731341,-16.47175503262631
512,54.0,75.19000244140625,60.88399887084961,1200000,-132.633212502093,-17.869939674779584
513,55.0,75.0,64.79100036621094,1200000,-151.81888060613687,-19.185668104043874
514,53.5,75.75,68.77300262451172,1200000,-172.5302953677406,-20.711414761603717
515,54.5,75.19000244140625,72.69999694824219,1300000,-197.49078527199455,-24.960489904253972
516,55.5,75.05999755859375,75.26899719238281,1200000,-222.06977318359242,-24.57898791159787
517,54.0,75.0,75.25,1200000,-243.87466830046804,-21.804895116875617
518,54.5,75.25,75.26300048828125,1200000,-265.5640952149643,-21.689426914496256
519,54.5,75.0,75.24400329589844,1200000,-287.47667558472995,-21.912580369765635
520,55.0,75.25,75.24400329589844,1200000,-309.49051777478115,-22.013842190051196
521,56.0,75.0,75.16899871826172,1200000,-331.3450816692442,-21.854563894463052
522,55.0,75.19000244140625,75.16899871826172,1200000,-353.14652294229904,-21.801441273054806
523,55.0,75.05999755859375,75.17500305175781,1200000,-375.1267476806531,-21.980224738354075
524,55.5,75.25,75.125,1200000,-397.3027073023669,-22.175959621713787
525,56.400001525878906,75.19000244140625,75.125,600000,-436.966909430499,-39.664202128132125
526,54.5,75.05999755859375,75.125,1200000,-476.92954517509366,-39.962635744594664
527,55.5,75.19000244140625,75.14399719238281,1200000,-498.80024290934904,-21.870697734255373
528,55.5,75.0,75.11900329589844,1200000,-520.9104294142364,-22.110186504887366
529,56.0,75.25,75.14399719238281,1200000,-542.6904969295673,-21.780067515330828
530,55.0,75.05999755859375,75.125,1200000,-564.7749386067944,-22.084441677227083
531,56.0,75.19000244140625,75.14399719238281,1200000,-586.6481939935816,-21.87325538678716
532,55.5,75.0,75.125,1200000,-608.7300646195923,-22.081870626010705
533,56.0,75.19000244140625,75.13800048828125,1200000,-630.6263691766303,-21.89630455703803
534,55.5,75.05999755859375,75.11900329589844,1200000,-652.7997589679067,-22.173389791276357
535,56.400001525878906,75.19000244140625,75.11900329589844,1200000,-674.8178694575771,-22.018110489670445
536,56.0,75.05999755859375,75.11900329589844,1200000,-696.9912592488535,-22.173389791276357
537,56.400001525878906,75.19000244140625,75.11900329589844,1200000,-718.9796398211084,-21.98838057225495
538,55.5,75.25,75.14399719238281,1200000,-740.8785058698795,-21.898866048771076
539,55.5,75.05999755859375,75.125,1200000,-762.9603764958903,-22.081870626010705
540,56.0,75.19000244140625,75.13800048828125,1200000,-784.9528801627781,-21.99250366688779
541,56.0,75.0,75.11900329589844,1200000,-807.1344123430933,-22.1815321803152
542,56.400001525878906,75.19000244140625,75.13800048828125,1200000,-829.1269160099812,-21.99250366688779
543,56.0,75.0,75.11900329589844,1200000,-851.2026916426902,-22.075775632708986
544,55.5,75.44000244140625,75.15699768066406,1200000,-873.2927085257214,-22.090016883031264
545,56.0,75.19000244140625,75.15699768066406,1200000,-895.5446944207804,-22.251985895058993
546,56.400001525878906,75.30999755859375,75.18199920654297,1200000,-917.6556311825364,-22.110936761755944
547,56.400001525878906,75.0,75.16300201416016,1200000,-939.8736389499977,-22.218007767461337
