,FREQ,TEMP,UTIL,AVG_UTIL,MEM_FREE,LOAD
0,1500000,0.699999988079071,0.37630000710487366,0.037629999220371246,0.5053858757019043,1.3700000047683716
1,1500000,0.7112500071525574,0.6488999724388123,0.10251999646425247,0.498056560754776,1.3700000047683716
2,1500000,0.7300000190734863,0.8575000166893005,0.18827000260353088,0.4729682505130768,1.3700000047683716
3,1500000,0.7237499952316284,0.8062000274658203,0.26888999342918396,0.43664708733558655,2.059999942779541
4,1500000,0.7300000190734863,0.9520000219345093,0.3640899956226349,0.42517009377479553,2.059999942779541
5,1500000,0.7425000071525574,0.9749000072479248,0.4615800082683563,0.4028044641017914,2.059999942779541
6,1500000,0.7487499713897705,0.9847999811172485,0.5600600242614746,0.37003007531166077,3.740000009536743
7,1500000,0.7487499713897705,0.9648000001907349,0.6565399765968323,0.34851983189582825,3.740000009536743
8,1500000,0.7537500262260437,0.9653000235557556,0.7530699968338013,0.3328576385974884,3.740000009536743
9,1500000,0.7487499713897705,0.9700000286102295,0.8500699996948242,0.32173535227775574,4.559999942779541
10,1500000,0.7537500262260437,0.9546999931335449,0.9079099893569946,0.3234691023826599,4.559999942779541
11,1500000,0.7599999904632568,0.9573000073432922,0.9387500286102295,0.31413477659225464,4.559999942779541
12,1500000,0.7425000071525574,0.9797000288963318,0.9509699940681458,0.3037322759628296,4.559999942779541
13,1500000,0.7537500262260437,0.8342000246047974,0.9537699818611145,0.3008176386356354,4.840000152587891
14,1500000,0.7599999904632568,0.8029999732971191,0.9388700127601624,0.29519492387771606,4.840000152587891
15,1500000,0.7487499713897705,0.7186999917030334,0.9132500290870667,0.2861860990524292,4.840000152587891
16,1500000,0.7487499713897705,0.3580999970436096,0.8505799770355225,0.2846567928791046,4.840000152587891
17,1500000,0.7537500262260437,0.4318000078201294,0.7972800135612488,0.27217838168144226,4.840000152587891
18,1500000,0.7599999904632568,0.43970000743865967,0.7447199821472168,0.25892174243927,4.610000133514404
19,1500000,0.7425000071525574,0.25619998574256897,0.6733400225639343,0.27569594979286194,4.610000133514404
20,1500000,0.7237499952316284,0.26930001378059387,0.6047999858856201,0.29122671484947205,4.610000133514404
21,1500000,0.7362499833106995,0.2888999879360199,0.5379599928855896,0.30138930678367615,4.610000133514404
22,1500000,0.7300000190734863,0.30959999561309814,0.47095000743865967,0.2998203635215759,4.400000095367432
23,1500000,0.7300000190734863,0.2946000099182129,0.4169900119304657,0.30050259828567505,4.400000095367432
24,1500000,0.7300000190734863,0.26669999957084656,0.3633599877357483,0.300266832113266,4.400000095367432
25,1500000,0.7425000071525574,0.32749998569488525,0.3242399990558624,0.30081555247306824,4.400000095367432
26,1500000,0.7362499833106995,0.2651999890804291,0.31494998931884766,0.29892948269844055,4.400000095367432
27,1500000,0.7425000071525574,0.30709999799728394,0.302480012178421,0.2984287738800049,4.210000038146973
28,700000,0.7237499952316284,0.23250000178813934,0.28176000714302063,0.2980344593524933,4.210000038146973
29,1500000,0.7174999713897705,0.16369999945163727,0.27250999212265015,0.3270367383956909,4.210000038146973
30,1500000,0.7112500071525574,0.1703999936580658,0.2626200020313263,0.327862948179245,4.210000038146973
31,1500000,0.7049999833106995,0.21080000698566437,0.25481000542640686,0.33228600025177,4.110000133514404
32,700000,0.699999988079071,0.16369999945163727,0.24021999537944794,0.33242368698120117,4.110000133514404
33,900000,0.7174999713897705,0.3598000109195709,0.24673999845981598,0.33355656266212463,4.110000133514404
34,1500000,0.7112500071525574,0.4271000027656555,0.26278001070022583,0.33511924743652344,4.110000133514404
35,1500000,0.7049999833106995,0.30809998512268066,0.2608399987220764,0.3355594575405121,4.110000133514404
36,700000,0.7049999833106995,0.164000004529953,0.25071999430656433,0.3376520574092865,3.859999895095825
37,1500000,0.699999988079071,0.164000004529953,0.2364100068807602,0.33628758788108826,3.859999895095825
38,1500000,0.7174999713897705,0.767300009727478,0.28988999128341675,0.33610400557518005,3.859999895095825
39,1500000,0.7237499952316284,0.45989999175071716,0.31951001286506653,0.44819918274879456,3.859999895095825
40,700000,0.7112500071525574,0.2574999928474426,0.328220009803772,0.5031555891036987,3.859999895095825
41,900000,0.7049999833106995,0.22339999675750732,0.32947999238967896,0.5063560605049133,4.190000057220459
42,700000,0.7112500071525574,0.16449999809265137,0.3295600116252899,0.5070695877075195,4.190000057220459
43,1000000,0.7112500071525574,0.16449999809265137,0.3100300133228302,0.5061578750610352,4.190000057220459
44,1000000,0.7049999833106995,0.29820001125335693,0.2971400022506714,0.5072469115257263,4.190000057220459
45,1500000,0.7049999833106995,0.5088000297546387,0.31720998883247375,0.51114422082901,4.099999904632568
46,1500000,0.7300000190734863,0.9419000148773193,0.39500001072883606,0.4905853569507599,4.099999904632568
47,1500000,0.7300000190734863,0.8740000128746033,0.4659999907016754,0.4549631178379059,4.099999904632568
48,1500000,0.7425000071525574,0.8561000227928162,0.47488000988960266,0.4250824749469757,4.099999904632568
49,1500000,0.7425000071525574,0.9617999792098999,0.5250700116157532,0.40870463848114014,4.099999904632568
50,1500000,0.7487499713897705,0.9799000024795532,0.5973100066184998,0.38488274812698364,4.809999942779541
51,1500000,0.7662500143051147,0.9722999930381775,0.6722000241279602,0.3715113699436188,4.809999942779541
52,1500000,0.7724999785423279,0.9850000143051147,0.7542499899864197,0.357090562582016,4.809999942779541
53,1500000,0.7662500143051147,0.9848999977111816,0.8362900018692017,0.3426843285560608,4.809999942779541
54,1500000,0.7599999904632568,0.9574999809265137,0.9022200107574463,0.33142223954200745,5.389999866485596
