,TIME,TEMP,UTIL,AVG_UTIL,FREQ,MEM_FREE,LOAD,AVG_EP_REW,REW
0,1625394003.8590848,0.6087499856948853,0.3208000063896179,0.03207999840378761,800000,0.754358172416687,0.4050000011920929,-5.49659390439537,-5.49659390439537
1,1625394004.9763968,0.6087499856948853,0.5175999999046326,0.08383999764919281,1000000,0.7560338377952576,0.4050000011920929,-14.032877811589774,-8.536283907194404
2,1625394006.128602,0.6087499856948853,0.6155999898910522,0.1454000025987625,800000,0.7545073628425598,0.4050000011920929,-17.587872585354653,-3.554994773764877
3,1625394007.2823632,0.6137499809265137,0.6162999868392944,0.20702999830245972,900000,0.7523460984230042,0.4050000011920929,-24.03161544798077,-6.443742862626118
4,1625394008.4179769,0.6137499809265137,0.48510000109672546,0.25554001331329346,900000,0.7542439103126526,0.4050000011920929,-29.453698125464328,-5.422082677483559
5,1625394009.5382738,0.6200000047683716,0.4722000062465668,0.3027600049972534,1000000,0.7598803043365479,0.4325000047683716,-35.884439114001204,-6.430740988536877
6,1625394010.6545713,0.6087499856948853,0.4668000042438507,0.3494400084018707,900000,0.7545105218887329,0.4325000047683716,-41.35426324064633,-5.469824126645131
7,1625394011.76574,0.6200000047683716,0.460999995470047,0.3955399990081787,900000,0.7495120763778687,0.4325000047683716,-47.60063601488969,-6.246372774243355
8,1625394012.8661203,0.6087499856948853,0.16210000216960907,0.4117499887943268,900000,0.7463067173957825,0.4325000047683716,-53.841335291217774,-6.240699276328087
9,1625394013.975905,0.6087499856948853,0.16210000216960907,0.42796000838279724,800000,0.742679238319397,0.39750000834465027,-59.08887335741044,-5.24753806619267
10,1625394015.0411825,0.5962499976158142,0.16189999878406525,0.41207000613212585,1500000,0.7427141666412354,0.39750000834465027,-70.76804188405447,-11.679168526644021
11,1625394016.1434777,0.5899999737739563,0.16179999709129333,0.3764899969100952,900000,0.742057204246521,0.39750000834465027,-76.30649508128971,-5.53845319723524
12,1625394017.2451267,0.5774999856948853,0.1615999937057495,0.3310900032520294,900000,0.742688775062561,0.39750000834465027,-82.45618871192545,-6.149693630635738
13,1625394018.3110864,0.5837500095367432,0.1615000069141388,0.28560999035835266,1500000,0.7428601384162903,0.39750000834465027,-95.01202324570068,-12.555834533775224
14,1625394019.4187324,0.5837500095367432,0.16130000352859497,0.2532300055027008,800000,0.7426919341087341,0.3675000071525574,-98.663601229313,-3.651577983612329
15,1625394020.5254493,0.5837500095367432,0.16110000014305115,0.222120001912117,900000,0.742298424243927,0.3675000071525574,-105.86085156823913,-7.1972503389261195
16,1625394021.6692412,0.5837500095367432,0.16099999845027924,0.19154000282287598,600000,0.7428950667381287,0.3675000071525574,-112.13583266192013,-6.274981093681009
17,1625394022.7422957,0.5712500214576721,0.1607999950647354,0.16152000427246094,1400000,0.7429553270339966,0.3675000071525574,-124.86599717116168,-12.730164509241542
18,1625394023.841156,0.5774999856948853,0.1606999933719635,0.16137999296188354,900000,0.7427173256874084,0.3375000059604645,-132.28548424912296,-7.419487077961282
19,1625394024.9129264,0.5712500214576721,0.16050000488758087,0.1612199991941452,1500000,0.7430124878883362,0.3375000059604645,-145.83614227968692,-13.550658030563964
20,1625394026.0161147,0.5837500095367432,0.16030000150203705,0.16106000542640686,900000,0.7423238158226013,0.3375000059604645,-153.3422268691031,-7.50608458941616
21,1625394027.1306555,0.5712500214576721,0.16019999980926514,0.16089999675750732,900000,0.7417620420455933,0.3375000059604645,-160.45941841476835,-7.117191545665264
22,1625394028.2348082,0.5774999856948853,0.16009999811649323,0.16075000166893005,1000000,0.751095712184906,0.3375000059604645,-168.66954954839844,-8.21013113363008
23,1625394029.3617895,0.5899999737739563,0.1598999947309494,0.16058999300003052,800000,0.7508322596549988,0.3100000023841858,-172.89291572761582,-4.223366179217367
24,1625394030.5291185,0.5774999856948853,0.15970000624656677,0.16042999923229218,600000,0.7508417963981628,0.3100000023841858,-179.13859048741057,-6.24567475979474
25,1625394031.6359377,0.5837500095367432,0.15960000455379486,0.1602800041437149,1000000,0.7510417699813843,0.3100000023841858,-187.47487452692172,-8.336284039511153
26,1625394032.7548244,0.5712500214576721,0.15940000116825104,0.16011999547481537,900000,0.7505466341972351,0.3100000023841858,-194.63601828311684,-7.161143756195111
27,1625394033.8689764,0.5774999856948853,0.15929999947547913,0.1599700003862381,900000,0.7511305809020996,0.2849999964237213,-201.7223479705036,-7.086329687386751
28,1625394034.9811044,0.5712500214576721,0.15919999778270721,0.15982000529766083,900000,0.7506386637687683,0.2849999964237213,-208.78655859400632,-7.064210623502731
29,1625394036.0954247,0.5649999976158142,0.1589999943971634,0.15966999530792236,900000,0.7501023411750793,0.2849999964237213,-215.8950028898299,-7.108444295823574
30,1625394037.185423,0.5774999856948853,0.15889999270439148,0.15952999889850616,1200000,0.7508354783058167,0.2849999964237213,-226.1340574217083,-10.239054531878384
31,1625394038.2885637,0.5649999976158142,0.15870000422000885,0.1593800038099289,1000000,0.7509782910346985,0.2849999964237213,-234.34954909719394,-8.215491675485639
32,1625394039.4046264,0.5774999856948853,0.15860000252723694,0.15922999382019043,900000,0.7508671879768372,0.26249998807907104,-241.4846722445467,-7.135123147352738
33,1625394040.518323,0.5712500214576721,0.15839999914169312,0.15907999873161316,900000,0.7510766386985779,0.26249998807907104,-248.56718368074087,-7.082511436194181
34,1625394041.6320434,0.5712500214576721,0.1582999974489212,0.15894000232219696,900000,0.7510639429092407,0.26249998807907104,-255.64964261641887,-7.082458935678005
